out:Speech Transmission Index_1,out:Speech Transmission Index_2,out:Speech Transmission Index_3
0.580498,0.636545,0.645075
0.580648,0.637499,0.645988
0.585311,0.640141,0.648879
0.577977,0.634933,0.64309
0.563768,0.622156,0.630232
0.579251,0.637187,0.645298
0.567958,0.624514,0.63255
0.573434,0.631972,0.640059
0.57699,0.633527,0.641891
0.572151,0.631117,0.639127
0.580901,0.635828,0.644336
0.573963,0.632534,0.640641
0.570043,0.627262,0.635671
0.561804,0.620724,0.628298
0.569005,0.62733,0.635411
0.567788,0.626311,0.634337
0.570261,0.627118,0.635217
0.570046,0.626175,0.634497
0.577132,0.634655,0.642951
0.594281,0.648885,0.657607
0.593753,0.647266,0.65605
0.605931,0.656707,0.666046
0.613794,0.663552,0.672743
0.634178,0.680793,0.69041
0.678015,0.71992,0.730068
0.760746,0.795629,0.807012
0.835327,0.859164,0.87261
0.590883,0.643692,0.652423
0.598518,0.652216,0.660803
0.593823,0.645384,0.654308
0.609542,0.65881,0.667947
0.620685,0.667511,0.67681
0.66069,0.704041,0.713753
0.715542,0.753776,0.764229
0.762795,0.797731,0.809375
0.587052,0.64232,0.650759
0.596585,0.649658,0.65836
0.601341,0.653701,0.662553
0.600709,0.651474,0.660492
0.613782,0.662016,0.671327
0.628465,0.675389,0.684559
0.657833,0.701886,0.711605
0.675802,0.718704,0.728519
0.583831,0.637864,0.646221
0.588801,0.642726,0.651423
0.583963,0.637101,0.645783
0.592871,0.645936,0.654653
0.595331,0.645027,0.653747
0.613679,0.662697,0.671905
0.628926,0.676594,0.685874
0.627128,0.674786,0.684134
0.579881,0.635717,0.643812
0.596394,0.651036,0.659915
0.586042,0.641224,0.649701
0.584786,0.638502,0.646982
0.59558,0.647495,0.656316
0.588078,0.637898,0.646729
0.598891,0.65147,0.660119
0.599808,0.648947,0.657822
0.583654,0.638765,0.647202
0.585886,0.641685,0.650265
0.581729,0.636526,0.644992
0.591185,0.6454,0.653986
0.586073,0.641106,0.649296
0.590657,0.643407,0.652208
0.594572,0.646414,0.655127
0.583462,0.634329,0.643016
0.567469,0.626685,0.6347
0.5726,0.630897,0.638816
0.564879,0.622334,0.630208
0.577975,0.634602,0.642809
0.571007,0.627925,0.636052
0.570046,0.625141,0.633323
0.579239,0.633547,0.6421
0.580783,0.636509,0.644814
0.571231,0.628163,0.636249
0.576003,0.634535,0.642445
0.575734,0.633785,0.641822
0.567272,0.624535,0.632903
0.567379,0.625087,0.632867
0.570624,0.627782,0.635581
0.570608,0.627796,0.635832
0.573503,0.630205,0.638706
0.567219,0.626909,0.634751
0.572386,0.630175,0.63833
0.575778,0.634974,0.642896
0.57527,0.632563,0.64073
0.57894,0.638157,0.646146
0.566103,0.624831,0.632555
0.578887,0.635404,0.643815
0.568514,0.625833,0.633794
0.586205,0.644583,0.652915
0.558537,0.618507,0.626089
0.567254,0.627251,0.635065
0.572173,0.632063,0.639861
0.564046,0.622171,0.63011
0.57053,0.629512,0.637393
0.574049,0.632598,0.640585
0.576005,0.634043,0.642262
0.560764,0.620854,0.628384
0.552576,0.614057,0.621174
0.575822,0.635916,0.643525
0.570529,0.629533,0.637408
0.566604,0.626036,0.633927
0.568184,0.627742,0.635517
0.574964,0.632767,0.641111
0.569694,0.627516,0.63566
0.558336,0.61801,0.625601
0.56678,0.625593,0.633656
0.568124,0.627794,0.635643
0.560493,0.619602,0.627552
0.577722,0.63709,0.645149
0.570935,0.630011,0.63802
0.568735,0.627921,0.635843
0.565079,0.623586,0.631129
0.566112,0.627368,0.634988
0.564743,0.625055,0.632634
0.572383,0.632937,0.640816
0.564977,0.624648,0.632512
0.561477,0.621009,0.628805
0.566958,0.625324,0.633347
0.564536,0.625874,0.633117
0.562442,0.621754,0.629381
0.758925,0.791725,0.80309
0.721223,0.758456,0.769043
0.666818,0.708592,0.718446
0.631225,0.676093,0.685476
0.616759,0.664949,0.674238
0.602202,0.651061,0.660226
0.609321,0.660469,0.66964
0.601525,0.652702,0.661734
0.832605,0.856178,0.869471
0.750414,0.784157,0.795254
0.668902,0.709645,0.7194
0.632099,0.678096,0.687451
0.615501,0.663792,0.673097
0.611335,0.661405,0.670606
0.596929,0.648146,0.656895
0.60763,0.659543,0.668756
0.75389,0.787812,0.799027
0.71536,0.753201,0.763608
0.650049,0.691765,0.701348
0.624916,0.671736,0.680962
0.619022,0.667893,0.677319
0.607407,0.657894,0.666896
0.59204,0.643338,0.652169
0.594996,0.647666,0.656287
0.663565,0.704738,0.714355
0.652245,0.696301,0.705704
0.629727,0.675278,0.684621
0.613737,0.661795,0.670744
0.607013,0.657392,0.666502
0.590907,0.641564,0.650368
0.594674,0.646942,0.655747
0.582995,0.636595,0.645216
0.626506,0.67306,0.682443
0.617969,0.664913,0.673981
0.61317,0.660462,0.669582
0.602302,0.652959,0.661932
0.592038,0.64392,0.652635
0.594152,0.645587,0.65433
0.600447,0.653266,0.661929
0.591017,0.644224,0.652846
0.598953,0.648287,0.657323
0.595907,0.645846,0.654579
0.60282,0.653827,0.662581
0.599224,0.650372,0.659271
0.588521,0.642025,0.650402
0.589821,0.643084,0.651752
0.584469,0.638896,0.647375
0.587257,0.641087,0.649659
0.58737,0.638792,0.647646
0.587694,0.640119,0.648956
0.575443,0.628775,0.637151
0.582548,0.635248,0.643971
0.584446,0.637901,0.646578
0.583576,0.638598,0.6469
0.576232,0.631513,0.639673
0.577827,0.634334,0.642606
0.57615,0.630149,0.63862
0.574879,0.629473,0.637796
0.567759,0.621661,0.630099
0.56227,0.617277,0.625565
0.579677,0.633452,0.64188
0.569977,0.625139,0.633438
0.572937,0.629131,0.637324
0.573499,0.631132,0.639048
0.582876,0.638202,0.646777
0.574666,0.629988,0.638239
0.567042,0.623394,0.631439
0.574353,0.629246,0.637682
0.570725,0.626493,0.634754
0.583387,0.639677,0.647955
0.575758,0.633055,0.641174
0.569919,0.627854,0.635614
0.573888,0.629684,0.637902
0.575091,0.630645,0.639035
0.57612,0.631208,0.639925
0.577961,0.634739,0.643064
0.579073,0.635305,0.643721
0.574683,0.630609,0.639062
0.568432,0.627166,0.635162
0.569684,0.627765,0.635767
0.56197,0.619589,0.6276
0.578926,0.63592,0.644221
0.572281,0.62935,0.637567
0.569149,0.627325,0.635349
